MEDIA_BROADCAST	sub_area	MEDIA	방송/영상 매체
READ_SOCIETY	sub_area	READ	사회
SPEAK_DEBATE	sub_area	SPEAK	토론
WRITE_ARGUMENT	sub_area	WRITE	논설문
GRAM_SENTENCE	sub_area	GRAM	문장
LIT_MODERN_NOVEL	sub_area	LIT	현대소설
MEDIA_INTERNET	sub_area	MEDIA	인터넷/소셜 매체
READ_SCIENCE	sub_area	READ	과학
SPEAK_DISCUSS	sub_area	SPEAK	토의
WRITE_REPORT	sub_area	WRITE	보고서
GRAM_DISCOURSE	sub_area	GRAM	담화
LIT_CLASSIC_PROSE	sub_area	LIT	고전산문
MEDIA_AD	sub_area	MEDIA	광고
READ_TECH	sub_area	READ	기술
SPEAK_NEGOTIATE	sub_area	SPEAK	협상
WRITE_LIFE	sub_area	WRITE	생활문
GRAM_HISTORY	sub_area	GRAM	국어사
LIT_ESSAY	sub_area	LIT	수필
MEDIA_DIGITAL	sub_area	MEDIA	디지털/뉴미디어
READ_ART	sub_area	READ	예술
SPEAK_INTERVIEW	sub_area	SPEAK	대담
WRITE_EXPLAIN	sub_area	WRITE	설명문
LIT_DRAMA	sub_area	LIT	극
MEDIA_CONVERGENCE	sub_area	MEDIA	융합 매체
