Test,Answered,Accuracy,Correct_Cnt,TCI,Final_Level,어휘력,문장 독해력,구조 독해력,논리 사고력,어법·문법 능력,국어 개념 적용 능력,국어 관련 배경지식,비문학 배경지식,문제 분석 및 전략 수립 능력,선택지 분석 및 전략 수립 능력
Frege,30,80%,24,61.14,Frege 3,70.2,83.0,60.5,68.0,62.2,60.5,50.0,57.0,50.0,50.0
Frege,30,100%,30,68.65,Russell 1 (Promoted),71.0,100,60.5,81.5,71.0,78.0,60.5,64.0,50.0,50.0
Frege,40,20%,8,37.54,Frege 1,41.7,9.0,38.0,30.0,35.2,44.5,46.5,30.5,50.0,50.0
Frege,40,40%,16,45.69,Frege 2,40.2,37.5,53.5,42.5,45.2,58.0,50.0,30.0,50.0,50.0
Frege,40,60%,24,55.9,Frege 3,43.5,59.5,57.0,63.0,52.5,74.5,60.5,48.5,50.0,50.0
Frege,40,80%,32,66.55,Russell 1 (Promoted),67.5,89.0,60.5,76.5,85.0,74.5,60.5,52.0,50.0,50.0
Frege,40,100%,40,73.2,Russell 1 (Promoted),78.0,100,64.0,95.5,85.0,78.0,64.0,67.5,50.0,50.0
Frege,20,20%,4,43.4,Frege 1,39.0,27.5,45.0,36.5,44.5,48.0,53.5,40.0,50.0,50.0
Frege,20,40%,8,47.79,Frege 2,42.7,48.0,48.5,45.0,45.2,51.0,53.5,44.0,50.0,50.0
Frege,20,60%,12,53.44,Frege 2,55.7,63.5,46.5,42.5,55.2,60.5,57.0,53.5,50.0,50.0
Frege,20,80%,16,57.79,Frege 3,51.2,83.5,53.5,60.5,60.7,60.5,57.0,51.0,50.0,50.0
Frege,20,100%,20,62.25,Frege 3,67.5,85.0,53.5,67.5,64.0,71.0,57.0,57.0,50.0,50.0
Frege,30,20%,6,39.75,Frege 1,42.5,16.5,44.5,26.0,41.0,41.5,50.0,35.5,50.0,50.0
Frege,30,40%,12,46.98,Frege 2,44.5,47.5,47.0,44.0,41.9,49.4,50.0,45.5,50.0,50.0
Frege,30,60%,18,55.1,Frege 3,50.0,64.5,47.0,55.5,58.5,71.5,53.5,50.5,50.0,50.0
Frege,30,80%,24,61.95,Frege 3,65.5,83.0,54.0,67.5,75.0,64.0,50.0,60.5,50.0,50.0
Frege,30,100%,30,67.95,Russell 1 (Promoted),64.0,100,60.5,85.0,71.0,71.0,60.5,67.5,50.0,50.0
Frege,40,20%,8,36.57,Frege 1,40.7,13.5,41.0,7.5,47.1,38.4,57.0,20.5,50.0,50.0
Frege,40,40%,16,46.28,Frege 2,57.0,27.5,47.5,20.0,63.4,52.9,50.0,44.5,50.0,50.0
Frege,40,60%,24,54.65,Frege 2,55.5,58.5,53.5,54.5,57.5,55.0,57.0,55.0,50.0,50.0
Frege,40,80%,32,66.49,Russell 1 (Promoted),69.2,87.0,64.0,79.0,83.2,71.0,53.5,58.0,50.0,50.0
Frege,40,100%,40,72.5,Russell 1 (Promoted),74.5,100,64.0,99.0,71.0,81.5,67.5,67.5,50.0,50.0
Frege,20,20%,4,43.4,Frege 1,46.0,18.5,44.0,35.0,51.0,44.5,53.5,41.5,50.0,50.0
Frege,20,40%,8,47.94,Frege 2,42.2,47.0,53.5,43.0,41.7,53.5,50.0,48.5,50.0,50.0
Frege,20,60%,12,52.94,Frege 2,55.2,54.5,53.5,33.0,62.2,57.0,57.0,57.0,50.0,50.0
Frege,20,80%,16,57.6,Frege 3,53.5,83.0,51.0,65.0,50.0,64.0,57.0,52.5,50.0,50.0
Frege,20,100%,20,63.3,Frege 3,71.0,88.5,57.0,71.0,71.0,64.0,57.0,53.5,50.0,50.0
Frege,30,20%,6,40.13,Frege 1,46.2,15.0,34.0,31.5,49.9,48.2,46.5,30.0,50.0,50.0
Frege,30,40%,12,45.84,Frege 2,47.5,37.5,43.0,36.5,58.2,50.7,57.0,28.0,50.0,50.0
Frege,30,60%,18,53.75,Frege 2,54.5,63.0,47.5,52.5,61.0,57.5,57.0,44.5,50.0,50.0
Frege,30,80%,24,62.4,Frege 3,67.5,66.5,57.0,75.0,85.0,61.0,57.0,55.0,50.0,50.0
Frege,30,100%,30,68.65,Russell 1 (Promoted),74.5,100,57.0,81.5,85.0,67.5,60.5,60.5,50.0,50.0
Frege,40,20%,8,37.82,Frege 1,39.2,0,46.5,24.0,49.1,52.4,46.5,20.5,50.0,50.0
Frege,40,40%,16,47.09,Frege 2,54.0,33.5,48.0,33.5,54.7,48.7,53.5,45.0,50.0,50.0
Frege,40,60%,24,57.15,Frege 3,59.0,60.5,47.0,54.0,75.5,72.0,60.5,43.0,50.0,50.0
Frege,40,80%,32,66.44,Russell 1 (Promoted),78.0,96.5,50.0,70.0,75.2,78.7,60.5,55.5,50.0,50.0
Frege,40,100%,40,73.9,Russell 1 (Promoted),81.5,100,64.0,92.0,85.0,81.5,67.5,67.5,50.0,50.0
Frege,20,20%,4,43.4,Frege 1,44.0,12.0,51.0,32.0,53.5,47.5,50.0,44.0,50.0,50.0
Frege,20,40%,8,47.7,Frege 2,51.0,34.5,51.0,44.5,54.0,50.0,50.0,42.0,50.0,50.0
Frege,20,60%,12,52.75,Frege 2,57.0,64.0,53.5,52.0,57.0,50.0,50.0,44.0,50.0,50.0
Frege,20,80%,16,58.1,Frege 3,67.5,68.5,57.0,68.5,60.5,51.0,53.5,54.5,50.0,50.0
Frege,20,100%,20,61.9,Frege 3,71.0,88.5,57.0,67.5,64.0,60.5,53.5,57.0,50.0,50.0
Frege,30,20%,6,40.78,Frege 1,38.2,7.5,51.0,30.0,43.9,44.2,53.5,39.5,50.0,50.0
Frege,30,40%,12,47.25,Frege 2,56.5,33.5,37.5,39.5,59.0,58.0,53.5,35.0,50.0,50.0
Frege,30,60%,18,56.75,Frege 3,68.0,45.5,51.5,59.5,82.0,68.5,50.0,42.5,50.0,50.0
Frege,30,80%,24,61.8,Frege 3,54.0,90.0,60.5,65.5,68.0,64.0,60.5,55.5,50.0,50.0
Frege,30,100%,30,67.25,Russell 1 (Promoted),67.5,100,57.0,81.5,71.0,67.5,64.0,64.0,50.0,50.0
